1,5,17,1,2,27,7,2
3,4,27,0,1,15,2,78
4,0,13,3,1,21,9,13
5,4,21,0,1,11,4,81
6,4,14,0,1,59,9,14
7,4,9,1,1,98,7,80
8,4,12,4,1,93,1,92
9,1,5,1,1,87,5,9
10,5,29,1,2,69,4,32
11,1,28,0,1,11,0,66
12,1,15,3,1,70,6,87
13,3,9,4,1,39,3,58
14,5,17,1,1,3,0,36
15,3,17,1,1,67,5,68
16,4,27,1,1,52,8,65
19,4,20,1,1,2,4,34
20,1,7,2,1,80,4,97
22,2,9,0,1,1,5,57
23,1,25,1,1,1,1,51
24,1,20,3,1,64,9,91
25,4,18,0,1,51,3,20
26,5,6,1,1,40,4,78
27,4,4,3,1,75,8,94
28,1,4,1,1,59,3,79
29,0,22,3,1,8,4,82
31,5,25,3,1,7,1,61
32,3,29,1,1,8,7,75
33,2,15,2,1,22,4,46
34,0,27,1,1,1,0,17
35,4,2,1,1,14,8,3
36,2,11,1,1,82,9,24
37,2,8,1,2,41,2,19
38,0,28,2,1,60,5,75
39,1,26,3,1,94,5,98
40,1,6,1,1,21,9,14
41,5,22,1,2,19,1,90
42,1,13,2,2,35,1,62
44,4,21,2,1,1,7,78
45,3,26,2,1,74,2,13
46,5,28,0,1,65,9,87
47,2,24,3,1,81,0,99
48,4,19,0,1,60,6,55
49,4,1,0,2,87,3,13
50,3,19,2,1,24,8,74
51,0,27,2,1,66,8,36
52,1,0,1,2,86,2,43
53,3,14,3,1,8,3,33
55,4,16,3,1,69,4,6
56,0,0,4,1,46,6,90
57,3,29,1,1,79,9,17
58,0,3,1,1,88,6,59
59,0,11,4,1,10,9,39
61,0,16,1,1,21,9,92
62,5,20,3,1,75,4,12
63,1,19,3,1,38,8,32
64,5,24,0,1,52,0,67
65,1,1,3,1,15,7,41
66,4,16,2,1,53,3,20
67,5,3,3,1,18,8,59
68,2,17,2,1,70,0,25
69,0,14,1,2,13,7,14
70,3,15,4,1,62,6,24
71,2,0,0,1,25,0,66
72,0,8,1,1,40,2,19
73,0,3,0,1,44,7,34
74,3,16,0,1,29,9,72
75,5,4,0,1,22,7,96
76,3,10,3,2,86,9,29
77,3,27,4,1,82,3,37
78,4,22,1,1,65,1,78
79,2,28,2,1,27,0,57
80,3,13,1,1,24,2,59
81,1,4,1,1,72,8,26
82,4,18,4,1,9,5,35
83,1,25,3,1,13,4,88
84,0,17,3,1,84,1,1
85,4,21,1,1,17,1,98
86,3,2,3,1,79,1,24
87,5,14,4,1,26,4,64
88,4,25,0,1,62,9,3
89,1,4,0,1,58,9,79
90,1,21,4,1,43,4,90
91,1,5,1,1,6,3,78
92,4,7,0,1,91,1,10
93,0,23,4,1,91,0,28
94,2,3,2,1,77,5,57
95,0,1,3,2,60,7,3
96,5,5,1,1,34,5,78
97,1,23,1,1,2,2,26
98,3,27,4,1,79,2,97
99,0,9,2,1,41,6,96
100,5,19,2,1,52,1,23
101,4,19,1,1,27,6,40
102,0,6,3,1,33,2,39
103,0,17,2,1,78,3,52
104,3,29,1,1,78,9,20
105,1,23,0,1,97,6,50
106,2,24,3,1,70,6,20
107,0,17,4,1,36,3,53
108,4,28,3,1,33,7,68
109,1,2,3,1,31,4,25
110,5,0,0,2,91,9,23
111,1,5,1,1,17,8,75
112,1,24,2,1,58,7,80
113,5,1,3,2,94,8,32
